DATE,CSUSHPISA,Year,Month
2006-08-01,182.594,2006,8
2006-09-01,182.798,2006,9
2006-10-01,183.198,2006,10
2006-11-01,183.609,2006,11
2006-12-01,184.139,2006,12
2007-01-01,184.517,2007,1
2007-02-01,184.598,2007,2
2007-03-01,184.15,2007,3
2007-04-01,183.01,2007,4
2007-05-01,181.6,2007,5
2007-06-01,180.254,2007,6
2007-07-01,179.111,2007,7
2007-08-01,178.116,2007,8
2007-09-01,177.558,2007,9
2007-10-01,176.624,2007,10
2007-11-01,175.147,2007,11
2007-12-01,174.342,2007,12
2008-01-01,173.132,2008,1
2008-02-01,171.541,2008,2
2008-03-01,170.053,2008,3
2008-04-01,168.338,2008,4
2008-05-01,166.659,2008,5
2008-06-01,165.017,2008,6
2008-07-01,163.566,2008,7
2008-08-01,161.987,2008,8
2008-09-01,160.308,2008,9
2008-10-01,158.327,2008,10
2008-11-01,156.142,2008,11
2008-12-01,153.619,2008,12
2009-01-01,151.507,2009,1
2009-02-01,150.015,2009,2
2009-03-01,148.66,2009,3
2009-04-01,147.949,2009,4
2009-05-01,147.694,2009,5
2009-06-01,148.09,2009,6
2009-07-01,148.41,2009,7
2009-08-01,148.278,2009,8
2009-09-01,148.025,2009,9
2009-10-01,147.85,2009,10
2009-11-01,148.134,2009,11
2009-12-01,147.929,2009,12
2010-01-01,147.396,2010,1
2010-02-01,145.631,2010,2
2010-03-01,145.859,2010,3
2010-04-01,146.403,2010,4
2010-05-01,146.394,2010,5
2010-06-01,145.721,2010,6
2010-07-01,144.991,2010,7
2010-08-01,143.916,2010,8
2010-09-01,143.019,2010,9
2010-10-01,142.531,2010,10
2010-11-01,142.173,2010,11
2010-12-01,142.06,2010,12
2011-01-01,141.521,2011,1
2011-02-01,140.35,2011,2
2011-03-01,139.981,2011,3
2011-04-01,140.01,2011,4
2011-05-01,139.905,2011,5
2011-06-01,139.862,2011,6
2011-07-01,139.73,2011,7
2011-08-01,139.309,2011,8
2011-09-01,138.668,2011,9
2011-10-01,137.952,2011,10
2011-11-01,137.152,2011,11
2011-12-01,136.674,2011,12
2012-01-01,136.607,2012,1
2012-02-01,136.533,2012,2
2012-03-01,137.904,2012,3
2012-04-01,139.154,2012,4
2012-05-01,140.155,2012,5
2012-06-01,141.029,2012,6
2012-07-01,141.669,2012,7
2012-08-01,142.279,2012,8
2012-09-01,142.908,2012,9
2012-10-01,143.6,2012,10
2012-11-01,144.585,2012,11
2012-12-01,145.503,2012,12
2013-01-01,146.827,2013,1
2013-02-01,147.785,2013,2
2013-03-01,149.963,2013,3
2013-04-01,151.519,2013,4
2013-05-01,152.85,2013,5
2013-06-01,154.199,2013,6
2013-07-01,155.604,2013,7
2013-08-01,156.965,2013,8
2013-09-01,158.227,2013,9
2013-10-01,159.242,2013,10
2013-11-01,160.075,2013,11
2013-12-01,160.994,2013,12
2014-01-01,161.927,2014,1
2014-02-01,162.525,2014,2
2014-03-01,163.086,2014,3
2014-04-01,163.393,2014,4
2014-05-01,163.66,2014,5
2014-06-01,164.062,2014,6
2014-07-01,164.578,2014,7
2014-08-01,165.215,2014,8
2014-09-01,165.905,2014,9
2014-10-01,166.642,2014,10
2014-11-01,167.335,2014,11
2014-12-01,168.051,2014,12
2015-01-01,168.634,2015,1
2015-02-01,169.13,2015,2
2015-03-01,169.8,2015,3
2015-04-01,170.298,2015,4
2015-05-01,170.881,2015,5
2015-06-01,171.468,2015,6
2015-07-01,172.131,2015,7
2015-08-01,172.936,2015,8
2015-09-01,173.828,2015,9
2015-10-01,174.792,2015,10
2015-11-01,175.738,2015,11
2015-12-01,176.545,2015,12
2016-01-01,177.273,2016,1
2016-02-01,177.649,2016,2
2016-03-01,178.165,2016,3
2016-04-01,178.767,2016,4
2016-05-01,179.43,2016,5
2016-06-01,180.08,2016,6
2016-07-01,180.832,2016,7
2016-08-01,181.852,2016,8
2016-09-01,182.824,2016,9
2016-10-01,183.752,2016,10
2016-11-01,184.76,2016,11
2016-12-01,185.725,2016,12
2017-01-01,186.801,2017,1
2017-02-01,187.312,2017,2
2017-03-01,187.991,2017,3
2017-04-01,188.724,2017,4
2017-05-01,189.617,2017,5
2017-06-01,190.51,2017,6
2017-07-01,191.451,2017,7
2017-08-01,192.667,2017,8
2017-09-01,193.763,2017,9
2017-10-01,194.811,2017,10
2017-11-01,195.962,2017,11
2017-12-01,197.176,2017,12
2018-01-01,198.303,2018,1
2018-02-01,199.217,2018,2
2018-03-01,199.954,2018,3
2018-04-01,200.654,2018,4
2018-05-01,201.428,2018,5
2018-06-01,202.238,2018,6
2018-07-01,202.912,2018,7
2018-08-01,203.697,2018,8
2018-09-01,204.365,2018,9
2018-10-01,205.138,2018,10
2018-11-01,205.685,2018,11
2018-12-01,206.161,2018,12
2019-01-01,206.517,2019,1
2019-02-01,206.817,2019,2
2019-03-01,207.024,2019,3
2019-04-01,207.506,2019,4
2019-05-01,208.148,2019,5
2019-06-01,208.67,2019,6
2019-07-01,209.277,2019,7
2019-08-01,210.12,2019,8
2019-09-01,210.934,2019,9
2019-10-01,211.844,2019,10
2019-11-01,212.817,2019,11
2019-12-01,213.938,2019,12
2020-01-01,214.954,2020,1
2020-02-01,215.773,2020,2
2020-03-01,216.317,2020,3
2020-04-01,216.803,2020,4
2020-05-01,217.009,2020,5
2020-06-01,217.656,2020,6
2020-07-01,219.352,2020,7
2020-08-01,222.449,2020,8
2020-09-01,225.885,2020,9
2020-10-01,229.84,2020,10
2020-11-01,233.254,2020,11
2020-12-01,236.491,2020,12
2021-01-01,239.497,2021,1
